index,slang_word,correct_word
1063,suramnya,surabaya
1064,melangitkan,melancipkan
1065,satuu,satru
1066,ngucap,ngurak
1067,zir,zair
1068,yiuu,yaitu
1069,tlah,tah
1070,disgust,diskus
1071,singapore,singapura
1072,terusssss,
1073,gyusss,
1074,mother,meter
1075,aaamiiin,
1076,nyaiin,niasin
1077,bermanfa,beranda
1078,pegel,pecel
1079,nggagas,ngalas
1080,luna,lana
1081,apasih,abasia
1082,2738363,
1083,enakin,enakan
1084,pakey,pake
1085,kya,ka
1086,l1,l
1087,palembangni,palembang
1088,jokobi,jojoba
1089,sinin,senin
1090,surabya,surabaya
1091,ngehe,ngebet
1092,achaduanla,
1093,tengorokan,tenggorokan
1094,denganmu,dengan
1095,kayaaa,kabaea
1096,hug,hg
1097,nualllllll,
1098,ilahailallah,
1099,eggre,entre
1100,viaaaaaaaaaaaaaaa,
1101,silence,sirene
1102,rudalnya,rupanya
1103,grrepe,gerepe
1104,haramm,haram
1105,biyoh,bicoh
1106,poinya,pina
1107,pool,poal
1108,mukax,muka
1109,dzolimi,dolim
1110,bagusla,bagul
1111,click,celik
1112,jerq,jera
1113,panass,panas
1114,bhw,bh
1115,ngudud,
1116,teloransii,
1117,subcerib,suberin
1118,rakussssd,
1119,tercandu,teradu
1120,suroboyoe,
1121,204,
1122,apps,apas
1123,knpsih,kasih
1124,dilepas,delepak
1125,dblng,dabing
1126,momoland,
1127,geteeee,
1128,awud,atud
1129,woooooooow,
1130,gemot,gebot
1131,carax,cara
1132,oplasnya,
1133,words,waras
1134,kifarah,kifarat
1135,2t,
1136,cuuy,cau
1137,waduhhhhhhh,
1138,sanah,sabah
1139,jgnlah,janah
1140,beramai,beramal
1141,bing,baing
1142,aee,abe
1143,ultamannn,
1144,perzinahan,perzinaan
1145,mswfuia,
1146,amw,am
1147,berkembangnya,
1148,dirimu,diri
1149,ngaji,ngaju
1150,eunice,ence
1151,nyesel2,
1152,ramai2,ramai
1153,normal2,normal
1154,penuhh,penuh
1155,game,gam
1156,awakk,awak
1157,batlefolrt,
1158,overthinking,
1159,bedaan,bedan
1160,ngebray,
1161,gatauuu,
1162,bco,baco
1163,photoshop,
1164,lidaaa,liana
1165,52thn,
1166,sinte,sinse
1167,mampusin,mampus
1168,tandingamnya,
1169,simpelnya,
1170,jiga,jaga
1171,banglades,bangladesh
1172,asep,aksep
1173,paiton,paidon
1174,embarrassed,
1175,subscrube,
1176,anjiirr,anjir
1177,iklanya,iklan
1178,anehkan,anakan
1179,wilisalim,
1180,goyo,gayo
1181,donng,doang
1182,gadibolehin,
1183,nyicipin,
1184,garosero,
1185,blak2an,bakwan
1186,700,
1187,apikkk,apik
1188,semangatt,semangat
1189,kontenye,konten
1190,ngomenin,
1191,77,
1192,dsna,dana
1193,adaada,ada-ada
1194,kontennn,konten
1195,sssuuttttt,
1196,makmurnya,
1197,abisnya,abina
1198,kluivert,
1199,more,mare
1200,president01,presidentil
1201,coeg,caek
1202,3some,
1203,electronic,elektronik
1204,nggih,nalih
1205,24d,
1206,ass,abs
1207,wajarlah,wakalah
1208,zara,zarah
1209,damanik,dakaik
1210,pulangggg,
1211,pppp,papa
1212,walidd,wahid
1213,mikirr,mikro
1214,fikirkan,
1215,20rban,
1216,kasihnya,kastanya
1217,mllu,malu
1218,makarang,maharana
1219,vidnya,
1220,jadilan,jadian
1221,mantannn,mantan
1222,bwt,bat
1223,huahahha,
1224,7,
1225,sampeyam,sampean
1226,taeil,tahil
1227,qobul,qolbu
1228,ggal,gagal
1229,faseh,fase
1230,ramekan,ramekin
1231,kodong,kobong
1232,yan,ya
1233,nergri,negri
1234,east,ebt
1235,turumu,tarum
1236,smua,semua
1237,panjaluu,
1238,meisita,memisit
1239,dijerman,derman
1240,yakkk,yakik
1241,kajak,kabak
1242,rene,rede
1243,menjatuh,menjatah
1244,ngehujattt,
1245,contonya,contong
1246,manopo,main po
1247,vegapunk,
1248,dzikirnya,
1249,nahaaaaan,
1250,ra77,ra
1251,bekase,bekas
1252,plembg,pltbg
1253,ngeluh,ngalum
1254,ngetiknya,
1255,1jam,
1256,lngsg,langsa
1257,tlol,tol
1258,grow,gros
1259,keganggu,kerangga
1260,dasare,dasar
1261,badahal,badal
1262,geuliss,geulis
1263,sesimpel,serimpet
1264,okeh,oceh
1265,missessesalnya,
1266,cantick,cantik
1267,wasn,wan
1268,adaaaa,abaaka
1269,ambyarrrrrrrrr,
1270,qeeeee,
1271,sumutnya,semuanya
1272,hargain,haraun
1273,pawangnya,
1274,anjirt,anjir
1275,pasca,pasca-
1276,sby,say
1277,kuto,kato
1278,lgii,laci
1279,memekmu,memekau
1280,eggk,ebek
1281,10006,
1282,durasiiiii,
1283,majoriti,
1284,ngeti,ngeri
1285,jigonfg,jigong
1286,lanjutkenn,
1287,kakwoaakwkwkwkw,
1288,everybody,
1289,kalie,kale
1290,kejelekanbaru,
1291,terlasu,terlalu
1292,vidioo,vidio
1293,opylany,
1294,waiter,water
1295,awokwkwkwkw,
1296,alfatih,alati
1297,kejinya,kenya
1298,icha,isha
1299,marai,malai
1300,tissue,timsus
1301,diuk,dauk
1302,adek2an,adakan
1303,icibossss,
1304,job,jab
1305,tatanegara,tata negara
1306,maseh,masehi
1307,bikmo,biko
1308,sck,sak
1309,rakuattii,
1310,rfid,rad
1311,luculu,laulu
1312,lenot,lemot
1313,sukaa,suka
1314,assalamu,
1315,statement,
1316,filterr,filter
1317,wkkwkww,
1318,hamili,hamil
1319,bodinya,
1320,coveted,
1321,inihttps,
1322,partny,paran
1323,kedada,kedadak
1324,nentu,naktu
1325,pencarianku,pencarian
1326,ngerebutin,
1327,busett,buset
1328,suuup,sulup
1329,tlnjng,tanang
1330,bolong2,bolong
1331,oknuk,oknum
1332,vivacious,
1333,menganggu,mengangguk
1334,ajiggggg,
1335,deleted,
1336,rosak,resak
1337,chaplin,capelin
1338,jager,jaber
1339,gawendeng,galendang
1340,marcocop,
1341,dblg,dag
1342,robbuka,
1343,thales,talas
1344,ketolol,ketola
1345,tulgak,tulak
1346,adeknya,adanya
1347,negoro,negro
1348,setnya,sanya
1349,shre,sare
1350,tasbi,tabi
1351,ngenyek,nenek
1352,broh,boroh
1353,mldak,macak
1354,melekbareng,
1355,beratkan,berakan
1356,ketangkep,
1357,haahaha,
1358,ngejilatin,
1359,667,
1360,papap,papa
1361,dbcok,decak
1362,kacau2,kacau
1363,africa,afrika
1364,nylafkahin,
1365,tadarussan,tadarusan
1366,nyolot,nyolo
1367,astagaaaa,astaganaga
1368,terbuktikan,
1369,knpp,knop
1370,kasihilah,
1371,nambah2,
1372,hoheng,heng
