Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_heart_with_arrow,16,emoji_heart_with_arrow
0,emoji_person_fencing,3,emoji_person_fencing
0,emoji_nose,2,emoji_nose
0,emoji_man_dark_skin_tone_curly_hair,1,emoji_man_dark_skin_tone_curly_hair
0,emoji_nose_dark_skin_tone,1,emoji_nose_dark_skin_tone
0,emoji_thumbs_up_dark_skin_tone,1,emoji_thumbs_up_dark_skin_tone
0,emoji_splatter,1,emoji_splatter
0,emoji_wind_face,2,emoji_wind_face
0,emoji_rightwards_pushing_hand,2,emoji_rightwards_pushing_hand
0,emoji_face_with_spiral_eyes,13,emoji_face_with_spiral_eyes
0,emoji_leftwards_pushing_hand,1,emoji_leftwards_pushing_hand
0,emoji_head_shaking_vertically,3,emoji_head_shaking_vertically
0,emoji_woman_playing_handball,15,emoji_woman_playing_handball
0,emoji_folded_hands_dark_skin_tone,4,emoji_folded_hands_dark_skin_tone
0,emoji_person_playing_handball_light_skin_tone,3,emoji_person_playing_handball_light_skin_tone
0,emoji_woman_fairy_light_skin_tone,5,emoji_woman_fairy_light_skin_tone
0,emoji_woman_fairy,5,emoji_woman_fairy
0,emoji_bust_in_silhouette,3,emoji_bust_in_silhouette
0,emoji_clipperton_island,57,emoji_clipperton_island
0,emoji_gorilla,11,emoji_gorilla
0,emoji_fish,3,emoji_fish
0,emoji_multiply,1,emoji_multiply
0,emoji_boxing_glove,3,emoji_boxing_glove
0,emoji_spider,5,emoji_spider
0,emoji_recycling_symbol,3,emoji_recycling_symbol
0,emoji_litter_in_bin_sign,2,emoji_litter_in_bin_sign
0,emoji_duck,6,emoji_duck
0,emoji_pig,3,emoji_pig
0,emoji_keycap_,12,emoji_keycap_
0,emoji_couch_and_lamp,1,emoji_couch_and_lamp
0,emoji_man_cartwheeling,1,emoji_man_cartwheeling
0,emoji_mending_heart,3,emoji_mending_heart
0,emoji_woman_fairy_medium,1,emoji_woman_fairy_medium
0,emoji_woman_gesturing_ok,2,emoji_woman_gesturing_ok
0,emoji_woman_bowing_light_skin_tone,2,emoji_woman_bowing_light_skin_tone
0,emoji_wireless,1,emoji_wireless
0,emoji_princess_medium_skin_tone,1,emoji_princess_medium_skin_tone
0,emoji_light_blue_heart,1,emoji_light_blue_heart
0,emoji_russia,2,emoji_russia
0,emoji_mermaid,2,emoji_mermaid
0,emoji_crossed_swords,1,emoji_crossed_swords
0,emoji_pig_nose,2,emoji_pig_nose
0,emoji_rabbit,3,emoji_rabbit
0,emoji_lotus,3,emoji_lotus
0,emoji_crab,14,emoji_crab
0,emoji_mechanical_arm,1,emoji_mechanical_arm
0,emoji_alien_monster,6,emoji_alien_monster
0,emoji_cat_with_wry_smile,5,emoji_cat_with_wry_smile
0,emoji_heart_on_fire,3,emoji_heart_on_fire
0,emoji_ophiuchus,2,emoji_ophiuchus
0,emoji_woman_frowning,1,emoji_woman_frowning
0,emoji_pinching_hand,6,emoji_pinching_hand
0,emoji_orangutan,1,emoji_orangutan
0,emoji_victory_hand_dark_skin_tone,1,emoji_victory_hand_dark_skin_tone
0,emoji_flying_saucer,1,emoji_flying_saucer
0,emoji_deaf_woman_medium,1,emoji_deaf_woman_medium
0,emoji_fish_cake_with_swirl,2,emoji_fish_cake_with_swirl
0,emoji_ballet_shoes,3,emoji_ballet_shoes
0,emoji_new_button,1,emoji_new_button
0,emoji_guitar,2,emoji_guitar
0,emoji_diving_mask,1,emoji_diving_mask
0,emoji_mount_fuji,5,emoji_mount_fuji
0,emoji_artist_palette,1,emoji_artist_palette
0,emoji_mirror_ball,2,emoji_mirror_ball
0,emoji_superhero,4,emoji_superhero
0,emoji_spouting_whale,1,emoji_spouting_whale
0,emoji_bear,3,emoji_bear
0,emoji_china,1,emoji_china
0,emoji_woman_dancing_dark_skin_tone,1,emoji_woman_dancing_dark_skin_tone
0,emoji_thought_balloon,3,emoji_thought_balloon
0,emoji_rabbit_face,1,emoji_rabbit_face
0,emoji_sleepy_face,5,emoji_sleepy_face
0,emoji_optical_disk,2,emoji_optical_disk
0,emoji_man_dancing_light_skin_tone,5,emoji_man_dancing_light_skin_tone
0,emoji_black_cat,3,emoji_black_cat
0,emoji_mermaid_light_skin_tone,2,emoji_mermaid_light_skin_tone
0,emoji_woman_gesturing_ok_light_skin_tone,4,emoji_woman_gesturing_ok_light_skin_tone
0,emoji_pool_,5,emoji_pool_
0,emoji_partying_face,8,emoji_partying_face
0,emoji_potato,1,emoji_potato
0,emoji_spiral_shell,2,emoji_spiral_shell
0,emoji_red_heart,797,emoji_red_heart
0,emoji_face_in_clouds,4,emoji_face_in_clouds
